source,target,attributes
UCMSWPqzXjd7QHq7v8PJjQ,leMOR7VSm5z-0r60iJ90EA,"{'review_id': 'Xh0ZnldbRW4PaTgN4lgHIg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,YCDZfgCTE1qSby-NEVqyMg,"{'review_id': 'DgVNo0DjyFt7fUNtcyYTow', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,1CYe3tlYmSZmQ88De5oy4A,"{'review_id': 'mPU2UDiNU_r6Tq_YmdOGjQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,fg_b694eTkILTY25e6hzYw,"{'review_id': 'Jfb0VWiYi4W_UkT3bQ0DQg', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,JjS8bo5WVtujV39N_RTuuA,"{'review_id': 'FtrIWLWBeQir-NvP8zxXyA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,fAR5rwcF6jOpZIHzzJCsGw,"{'review_id': 'RbSw7Dn6-iwGH-UGeORLGA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,e1N-ogRFubZAon5nO27New,"{'review_id': 'e_eXOgG6KRbvS8NlXrU6cg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,vpLH_-4HElvpfGBVtHaQrw,"{'review_id': '7azfVxiL1w0y345342EmSQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,R-D_m0sHuc-RBV5d_4xNCw,"{'review_id': 'pl7rZOvDikoIx73oNp_yGw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,dAcD50ahUie1XXM0RxQzWQ,"{'review_id': 'WM_UWzFIaJUg_EVh5iUj0w', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,XZc9pY8aMZTWF9zko2qF7Q,"{'review_id': '0-XZHk-ncjLMML6DDdsk3w', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,FM0DHU-t1Po22-zWlZMnaw,"{'review_id': 'AJfG_9UCWs5Wb1wh6MaUyA', 'stars': 2}"
UCMSWPqzXjd7QHq7v8PJjQ,B534qw3uEzguScTyMe2Xvg,"{'review_id': '0hfNQhB13rf9HIe_t6UkMw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,iZTdaplsGKBlH6hstY_yFg,"{'review_id': 'zJjpEtqpd87-THXR_WryDg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,IZdsyVJ0q-Xlr14yUhfR-w,"{'review_id': '3QCvBvp7GLb8Irb9LeO7uA', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,nq5wPmGbrEyFIgyAELd34w,"{'review_id': 'BhpW2kA4hCcR8ZX0yBXSSg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,LY1fw6YZ6jgA8xcPVIZRPw,"{'review_id': 'LrsXC_rLIfkOgB9696yvhg', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,k43FsajY9k7NuSjceMm1jg,"{'review_id': 'vCJXmqItoPVUicCs-w5v1g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Sm9TrAoWxSS3Fb7rcH7tIg,"{'review_id': 'boD_WfhuNbCvY5QDvV6XLQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,sbL2EDQpgbkjXy-OvnxE2Q,"{'review_id': 'oj1VQADvmY8GHnvE23L2Ig', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,mxYElacBOmx4d2cOAKSs2g,"{'review_id': 'oVuKPWeq1QJ9u43IhXPkow', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,owRN91Bim4RBvd_Yj4DsLA,"{'review_id': 'VnhPJASbzRZWb0BR3ch0IQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,zbaY8nqiXFoAqqXjYSQjbQ,"{'review_id': 'mnYoqX5XgYgvBraums5rJQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,rqzcmK4ysvFA_sbgYaSmdg,"{'review_id': '_bUyjGDqeJst7nDih6hAHw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Hg7mONHTGJJBAR2tiSkzPw,"{'review_id': 'eSz8Y3MMkl-hVaLeH26aPA', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,fPbkv1VU7G94hrfJE6kKDg,"{'review_id': 'W5zQRd-sjPWDpxi3QM32Rg', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,zNVNDhvrhNlzwiFwEpy9ew,"{'review_id': '-P9zd6LJEqO9avrbIOEvFA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,daBm4YSXPzSi-ArR-Nr_Xw,"{'review_id': 'xqaaFpFPuc_Hui8d67ybzw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,egFTwidg9uVcM_90iRYMqQ,"{'review_id': 'j3CpPJrrxyCAYga-Ot0PTA', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,UYkr7SSyc6-J-9lrfRytTw,"{'review_id': 'GVKZjcy8masx8XNzAPvTdg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,wNGVC7jLg8LAb1ragQYM2Q,"{'review_id': 'qfdTnq5c0-IWAtvcSeyiAA', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,9Y1YkloHk2MAE3hkwYdFKA,"{'review_id': 'b7w1P0htnY-abMBrEu0qtQ', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,_LSt8ZGpTUsZAVYZqta7jA,"{'review_id': 'cahVBwcVigdqtWpZnAtYaw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,pgUQjUl_2G5L9EreDzIjSw,"{'review_id': 'rLf-518KWHtM0bh8jEkQeQ', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,w_VECoJjsfGUlUFFPjq9Rg,"{'review_id': 'CLiawhedvCpPoRrxcoUn7g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,-4Q5n5AfHKU5GUDEJZwOtQ,"{'review_id': 'Y8XbMacld5if3cuvBm4ufg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,n9KpCXZnIiZrPn3ug2FPPw,"{'review_id': 'L3KkNxjbEnhHbMID5gGJvA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,YY1WcJ14tHRlLx6NYNQVBg,"{'review_id': 'iqQOM8U3kOUTsxv6W5YZNw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Ld0BvBjyABEa7i-u8mNDDw,"{'review_id': 'r6CffFTNyFsh39RJg52ePw', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,TW5Yda5zYcO4d4D6F34VoA,"{'review_id': 'XvWnyvnWV7D5QWoKPE0zXw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,yrT50M03JWYMjpZhn7yldA,"{'review_id': 'tpSGyU_2faujIHL5O0-2GA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,W75NJSMCF1p3zZ-HtXV10w,"{'review_id': 'jgSMRjaudBDitAWs5MTxVg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,heFuQy6LkbO8aBI07UJZKQ,"{'review_id': '6I-z2iKoGZ2E_bkBoxuFrA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,g8YIYOEeasBbwaR2RanSLA,"{'review_id': 'wz8C_kACP2dwPd-cTJCXMg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,de81U9sDtCDmGszxOOq0AQ,"{'review_id': 'sMTB1Ggs-GRpTPG2nOxIqA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,kNtMJMOCTuznaX-Mur4TQQ,"{'review_id': '9bdRJokGSaNhdEmW6Aikqg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,KHtW4zXUzVGWhwStGAHn_w,"{'review_id': 'CxoV_jyaS2KOiUrf7G1GyA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,qqxxzPmS9Q6W9yoZ9gzOrg,"{'review_id': 'zf32j1PBIrJua_lPO0XWyQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,XDmE8qlypJQ0CMpqop5jMg,"{'review_id': 'RhN-CYKz4aZm6VZlVtlMWA', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,SVloZriOxU1Ig6RWOhZ2kA,"{'review_id': 'VgkIilHzHJ2BF9zhZRYh4A', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,cE1tt4X6yzEVkrD6d7KE5g,"{'review_id': 'Cts9ZhX-ZyEoGrBVYyUYJA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,tW1WOkItxVyqXVitc4l7ag,"{'review_id': 'ZaoWPH9hhhSykRmZsr8eaw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,tjsHoSYrXYthwX3mLwd-uw,"{'review_id': '7bnDMsJ9F8afBYtxbIHeFQ', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,TbmCrPDTAIpyHxUCjHFtkg,"{'review_id': 'oPG1Hj3S2P4dNtEf_nYbHA', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,ta7P_6CF1y2PsJZu2chdeg,"{'review_id': 'NyGAX2XGSoMaS8JukTvzHg', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,4PYfRKB2_shulKeN0RFUZg,"{'review_id': 'Hd88OP3cjTcVwPpdzJBlYw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Bm2UDqfo4s3t2GpZZ_GLNw,"{'review_id': 'kGTZeWKz5oBUfK6piqpr5Q', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,lLAifGVomWrO9yMSkBicNQ,"{'review_id': 'G0DE9nr5u_u-COH3gwo16Q', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,pdK_oJAdoVmNenZQgsVnjg,"{'review_id': 'iZ8ebpVVenMHcjSDX9TRIg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,JWDjBazAGYrQfkHYuyk5FA,"{'review_id': 'EKHb6Ud6lVtpXN61PGFnig', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,yHFgRqm6vI-f6BFEd5IzTA,"{'review_id': '9HxXI7KUi1gxpCSxvmTZGg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,ZgXCViZ4_CN0rSmjGjPTvg,"{'review_id': 'ELeQeEPNXgrwOU2yAaO6KQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,YbbEEBuYknqCZ7l2g6ekPQ,"{'review_id': 'pazpAjsU91R70i2Dp2xGTA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,q67C3gg__MqZeCEbzmnryg,"{'review_id': 'YzmGOCNBWw_xOnTjEAjWXQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,bFA2UN912Fg-giqf857R5Q,"{'review_id': 'VEgftHZ8rZktyYv5ClT5Sg', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,EFxucMR_bcz4f5kZb3Favg,"{'review_id': 'i8oUIeyuApLVS9bEUT4rtQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,VU-Gr_Y6391lscYDKAcETQ,"{'review_id': 'mGGFz7dmt_weV5LWYzudZg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,yWpCItVaHwUmBOSYHwt1jQ,"{'review_id': 'CCoTe3ChBH-eTPtEDl4bcg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,sIA4bsq1jibGtSM62zKR_A,"{'review_id': 'Pf_9hUQsVzUwkAKEL8WuKA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,yXdPN2pU2NrbZxgxvhYNtQ,"{'review_id': 'PuVfdkT3aZZDbfu8jOHASw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Ux5FH2Ifi3iHJ6Meg23Kgw,"{'review_id': 'juAQUdvC4vkiphoOhySVrA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,6oVKRlgHs5tkeN5Ci0T8Qw,"{'review_id': 'KuJIwKbaVVZyeKhsmGEwLA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Zhl_-5aSrDHm90JSdaDJeA,"{'review_id': 'xcmMafSuyNDeRuaXUCiKTw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,ocipy3MDcprCMCHCrqrqAg,"{'review_id': 'CYQ0iHWsdHjEvmz_pFARtA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,mPQzBU8Sj3lKq5t7RM7fdA,"{'review_id': '2JF90fj50qIV3y2nhQ9Gfg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,bFpcjLSL6SRE8soYL0RtnA,"{'review_id': 'vIaQwoB4UJJOglsGJPGa1w', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,EmFqrcUCuJTD0Xb1ssV6uA,"{'review_id': 'ZA8Spxpu4qtD63uBDyrbyg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,3MCgJN0fGnywZ-H0ks9xeA,"{'review_id': 'YJcL4VY8QN45mo9cEX-Q9g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,a2DGFEIov1L7X9rKdVmN6A,"{'review_id': 'Wu8G9Bm-jUnJ2Y9Pe2TX-w', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,fFhEhb16qI1Yz-pBKYFdXQ,"{'review_id': 'h2FqvxAI9waaEW_OoZTnBg', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,7P0sPEe0gX84MhDZ3ukQOg,"{'review_id': 'LmrAt8ALEVgcJ0DMPU29Pg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,uGnJJZJxBOwE4S0Ksofkxw,"{'review_id': '94C5rVnnOBPz1C-yRFG7BQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,ZG9pcWvyM09S5hDRZMF4yQ,"{'review_id': 'raGTYbS0w8DaufBhWjd7jw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,UhN9RrW19vz7vFWgWVLn_w,"{'review_id': 'pUZ9_HXjeReRiXTiEXNTDA', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,nqbC-2X38Bb5I-RyFO1LMg,"{'review_id': 'F24eNx9_4nv1kfRKWQB3LQ', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,5L83EA5T56RZHp9nQrg13g,"{'review_id': 'Ryl2X26GOh12TdodMaEU7A', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,0SQvyIgOLGEd4jUHx6qnSw,"{'review_id': 'j15L9KbVCRP8pY-1XEC2rw', 'stars': 2}"
UCMSWPqzXjd7QHq7v8PJjQ,DdQoHPbOjD61lC21m0mubw,"{'review_id': 'P6szY_soZu6dgVDDBmU_Kg', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,C7dQiaeTjraiwSGts7zmmw,"{'review_id': 'zhLxo3QY5t0S64JbwGxgaw', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,dkotr2acFa6cga2it2yRNw,"{'review_id': '74DNLyvtqSDtO-sCVPwVIw', 'stars': 2}"
UCMSWPqzXjd7QHq7v8PJjQ,JlZTL5DeVJ_huGl4h8-RZQ,"{'review_id': '3cBBDJtET4nEEZewTg1__w', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,RohcY-43I6jVFxm5A1uWXQ,"{'review_id': 'U_wdJbC_nT3Bl3Cbwj_Y9g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,LSa0gb-dKRtsc3Ru_lML6Q,"{'review_id': 'cPxBlyGwrtGZhhTnZqFnFw', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,f8NI0wFzvoo-AnZGYiwmxw,"{'review_id': '4sDWdvnmamW8SMMDVfg0eg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,4VDWeuFD0f6jAeFlZa_UAA,"{'review_id': 'q9GdPV5unQTVt7rwMqmBlg', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,FsvZpP9m3RG95EvjDE5JWQ,"{'review_id': 'wqEoS1QLXnWyi9HsdgE73Q', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,xUIrdHIAMQbYSf1Mgbbgsg,"{'review_id': 'jIWMJRQFgmTcGzM7ROIQTA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,uAeVmm_x91cmFQzhzGVQvw,"{'review_id': '6wXdO7H75gXkKSWQDB4bCA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,tZ9xJeOk9tH_pj_kCIrQFQ,"{'review_id': '7mJkiV1-zZdsORLHTHSxnQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,VL2Js_d5cdQJKdFybUWCLw,"{'review_id': 'El8GR_cgw28_9ITn38C4lA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,iOwLHZq6rm19AKaBDXpTpQ,"{'review_id': 'igmQKPdlcGhVydS7Hx0wFQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,sEOrMVnG9PQY1DG60-iOGw,"{'review_id': 't8FULZPeKJuShAT4kzru_A', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,XQOfswKxp9wyxOMtd0nPWw,"{'review_id': 'c4-WFPNcvotIAr4ZstWM_g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,XOgogN2ZRhzzkZxdMPtDMA,"{'review_id': 'KnimA_6XWPYty8du3mNm-A', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,BFiyCTmBtn4HjzC1o6zf7g,"{'review_id': 'TsG47PWBkLd3cjWEYerUHw', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,kxeBIcRrtG89cZ-D56jJkQ,"{'review_id': '8iJ3TJeUHoVcmkpn_pl3AQ', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,Xf5hPJl9P4r9rRAy-NR46g,"{'review_id': 'Oz8E7WQ5JVlrCC6-PGdY8Q', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,t8wymCwaOuCSIqol9n0B_Q,"{'review_id': '-aHs-7ZVV28pnJJ0mwi1cg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,79FjW0-1vYG1UsbmpDrQTg,"{'review_id': 'DVfdUaU37DSBexbngdQELg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,kWv_AKQaPpJEHrkVHP0_lg,"{'review_id': 'I7upl45sNZBk7rKdfp5aMA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,tfiamrm-f-js7gB_4xlZtw,"{'review_id': 'aDfq45UIpgp7DBHkOA9RQg', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,ofhKO2Wlmr7h5Q5qAUUf1w,"{'review_id': 'IbS3YKQYauvLnLaB5Bit5w', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,aaudnDw5cD5sPSYvzLI-8g,"{'review_id': 'kYxRrds2u5SeqAnE9QFJ7Q', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,10Y8gFbG7BcUwQ4P9q4zWw,"{'review_id': 'ToZoY_nxGsUxhYIFG3y8cg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,xfImljhxN6NlONPD2rb_HA,"{'review_id': 'oh5f_O_6oDIb3-ziN-RhnA', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,g4G8UHHhRkuVj-ZzJ5MTtw,"{'review_id': '_kIJcpy7E3dJOtUDgvwA4g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,SfY5Y7t_UagRgNFFB_jkCw,"{'review_id': 'fgydAIJNtzQLAzFiVh4irQ', 'stars': 2}"
UCMSWPqzXjd7QHq7v8PJjQ,04i8QlcT28rw3Yf37hba5Q,"{'review_id': 'VLdLpSfecAs3dFxb1D6I9Q', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,d69F8wnAyCQMWuYQTEFFUw,"{'review_id': 'YEHr3Defv9QW6xLpC-8d2w', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,MD_Dh0YJ3-2uNzMt5NqJsg,"{'review_id': 'NTn8a-eu7mIniCC8ixkkjw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,0H_n0mdiBBCfFuLYibod_Q,"{'review_id': '2BUJemXRSmEA6ziyPOp8iQ', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,g_UvMS8irByyP7h3KEmmxQ,"{'review_id': 'voMXLCb0gcriG5YE0rSy-g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,-WcB-MUolRfvBmJ2lLU_cg,"{'review_id': 'awyiVO2jZgUrqgs6WHb2cw', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,w0CNvIqdA2ZNgrpTd54rkA,"{'review_id': '94sjhtoVj1v6apg2UAfoGA', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,jBNAm9Cz7ses4t99A71NEw,"{'review_id': 'eH2lY66ku4-6tnwzuo1OuA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,JJ28X953AXwBQ2IQl0w80Q,"{'review_id': 'Pkxhd4gIXNByM84PZr-5Sg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,LAJ2wrfP1ZLCD_utHcmr_Q,"{'review_id': 'toq0ZV_dy2X9idrOq4fj0g', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,WwYAXobA3XPR1FC-gnaX6g,"{'review_id': 'HMEqlGGAWmitFzHHZnPVoA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,d62C1WL-dcI9eE9xJBHn5Q,"{'review_id': 'IzbrtT_6418FLRWNnoLIiQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,JBLWSXBTKFvJYYiM-FnCOQ,"{'review_id': 'Z_RXjjrko9RObx6QbrzgJQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,rIO_nkCSnWTjDpGbjfHt8w,"{'review_id': 'xwg0qzYEWjRdCX2TR5sYgg', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,jLL2q3ieCon689_uiasHJQ,"{'review_id': '8ACqjYHkDLvjoHEtPIxMwQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,xfRCH36DNtOq28C8JWiHNA,"{'review_id': 'xs_t91AwHmxHTrkvvdVgAw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,ocalYFm7FVIkmBu2vs-PNA,"{'review_id': 'ksEIvxiP2AvcG8izQPLvOw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,PluuoC0vKMq_159qjFiR-A,"{'review_id': 'cLOv_wep8i9NJvIJN9SPIQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,p_T-VFbmvtnSxnI5djUWig,"{'review_id': 'GmSh9AEG2nwq91ZURDJ9rw', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,8QXAB1vREcnwBybGl6kelQ,"{'review_id': 'ACpMwD4xi6Rp1rbiAlDDSQ', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,hTaBY4ObN-vTNgABea55wg,"{'review_id': '3Vw_olseXFuGbGspxEv4fQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,0MaXIP3k2V-zTB4YoZ2G5g,"{'review_id': '02RH35hVAWGRXn7oWqdcOA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,UqA28T4JXvnMLWHMlQNHOg,"{'review_id': 'GAIv4H-cbuedESXwkFOPwQ', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,Bgv3CFS9yhIMJ12nD_VCxw,"{'review_id': 'dW30zwnEzbnveb5TQGp-XA', 'stars': 2}"
UCMSWPqzXjd7QHq7v8PJjQ,zQ-WKse2-NWKwqwu1oeJ9g,"{'review_id': 'az2GC5oeFVqBjZTEyyx14A', 'stars': 3}"
UCMSWPqzXjd7QHq7v8PJjQ,-6ULgMBfzqbgOPcE5PrRWQ,"{'review_id': '2AMY3NDsYBI6DQfK0YcR0w', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,1LxdpsABpx588lVBOAFR7g,"{'review_id': '1yUqwFmxEa6IXr1WD6Hadw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,89Meij6Q45x8aVl9iN-GBQ,"{'review_id': 'gOynDR_vz3FlMoLiDyGSpA', 'stars': 4}"
UCMSWPqzXjd7QHq7v8PJjQ,DwbGw2Azs-x9Udr0InjA8A,"{'review_id': 'UvZvClAENl6Nu9ikh5ZgQA', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,DgnO4AEfGL8of7O-39OFKQ,"{'review_id': 'OH5JuQfY9bHlb8EhTy1uig', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,Z7PsT-nKB1NqCs_RBhtpiw,"{'review_id': 'QKts0JpGSUndqNl_hX-QXw', 'stars': 5}"
UCMSWPqzXjd7QHq7v8PJjQ,I2YvqVLZNx1q6fpu8O2Oog,"{'review_id': 'lRjBQ9_l-iQkNARUMKqIqA', 'stars': 1}"
UCMSWPqzXjd7QHq7v8PJjQ,g1Qpp-c6CoGpFy-KEByU6w,"{'review_id': 'rdY1JlWaD4pXgSCNP9DPOQ', 'stars': 5}"
